feature_set,features,particles,model_artifact,fold_factor,design,pipeline_status,error_type,error_message,stair_lut,stair_ff,stair_dsp,stair_bram,latency_cycles,ii,throughput_samples_per_sec,max_resource_utilisation,work_cost,work_to_area_ratio,correctness_passed,checked_output_count,mismatched_elements,reference_output_widths,scheduled_output_widths,fold_group_count,lanes,max_temporal_steps
3-feature,3,64,official_models/3-feature-perminv/jet_classifier_large_64/models/epoch=1294-acc=81.65%-val_acc=81.64%-EBOPs=226791.keras,2,Folded-2,ok,,,92657.0,59668.0,0.0,0.0,55,2,150000000.0,0.03636363636363636,160766.0,1.7350658881681902,True,5,0,"[13, 7, -18, 5, -4]","[13, 7, -18, 5, -4]",1,32,2
3-feature,3,64,official_models/3-feature-perminv/jet_classifier_large_64/models/epoch=1294-acc=81.65%-val_acc=81.64%-EBOPs=226791.keras,4,Folded-4,ok,,,58549.0,34489.0,0.0,0.0,57,4,75000000.0,0.07017543859649122,160552.0,2.742181762284582,True,5,0,"[13, 7, -18, 5, -4]","[13, 7, -18, 5, -4]",1,16,4
3-feature,3,64,official_models/3-feature-perminv/jet_classifier_large_64/models/epoch=1294-acc=81.65%-val_acc=81.64%-EBOPs=226791.keras,8,Folded-8,ok,,,41461.0,21824.0,0.0,0.0,63,8,37500000.0,0.12698412698412698,159852.0,3.8554786425797736,True,5,0,"[13, 7, -18, 5, -4]","[13, 7, -18, 5, -4]",1,8,8
3-feature,3,64,official_models/3-feature-perminv/jet_classifier_large_64/models/epoch=1294-acc=81.65%-val_acc=81.64%-EBOPs=226791.keras,16,Folded-16,ok,,,32887.0,15425.0,0.0,0.0,77,16,18750000.0,0.2077922077922078,157972.0,4.803478578161584,True,5,0,"[13, 7, -18, 5, -4]","[13, 7, -18, 5, -4]",1,4,16
3-feature,3,128,official_models/3-feature-perminv/jet_classifier_large_128/models/epoch=489-acc=81.72%-val_acc=81.40%-EBOPs=492752.keras,1,Spatial baseline,ok,,,317202.0,236759.0,0.0,0.0,61,1,300000000.0,0.01639344262295082,317202.0,1.0,True,5,0,"[19, 16, -14, 19, -1]","[19, 16, -14, 19, -1]",1,128,1
3-feature,3,128,official_models/3-feature-perminv/jet_classifier_large_128/models/epoch=489-acc=81.72%-val_acc=81.40%-EBOPs=492752.keras,2,Folded-2,ok,,,199559.0,141001.0,0.0,0.0,61,2,150000000.0,0.03278688524590164,363259.0,1.8203087808618004,True,5,0,"[19, 16, -14, 19, -1]","[19, 16, -14, 19, -1]",1,64,2
3-feature,3,128,official_models/3-feature-perminv/jet_classifier_large_128/models/epoch=489-acc=81.72%-val_acc=81.40%-EBOPs=492752.keras,4,Folded-4,ok,,,119993.0,77229.0,0.0,0.0,61,4,75000000.0,0.06557377049180328,372395.0,3.103472702574317,True,5,0,"[19, 16, -14, 19, -1]","[19, 16, -14, 19, -1]",1,32,4
3-feature,3,128,official_models/3-feature-perminv/jet_classifier_large_128/models/epoch=489-acc=81.72%-val_acc=81.40%-EBOPs=492752.keras,8,Folded-8,ok,,,78326.0,45510.0,0.0,0.0,67,8,37500000.0,0.11940298507462686,375595.0,4.795278706942778,True,5,0,"[19, 16, -14, 19, -1]","[19, 16, -14, 19, -1]",1,16,8
3-feature,3,128,official_models/3-feature-perminv/jet_classifier_large_128/models/epoch=489-acc=81.72%-val_acc=81.40%-EBOPs=492752.keras,16,Folded-16,ok,,,57472.0,29605.0,0.0,0.0,81,16,18750000.0,0.19753086419753085,381667.0,6.640920796213808,True,5,0,"[19, 16, -14, 19, -1]","[19, 16, -14, 19, -1]",1,8,16
16-feature,16,8,official_models/16-feature-perminv/jet_classifier_large_8/models/epoch=2099-acc=74.17%-val_acc=73.91%-EBOPs=88867.keras,1,Spatial baseline,ok,,,69300.0,41993.0,0.0,0.0,51,1,300000000.0,0.0196078431372549,69300.0,1.0,True,5,0,"[7, 10, -26, -18, -10]","[7, 10, -26, -18, -10]",1,8,1
16-feature,16,8,official_models/16-feature-perminv/jet_classifier_large_8/models/epoch=2099-acc=74.17%-val_acc=73.91%-EBOPs=88867.keras,2,Folded-2,ok,,,46259.0,26994.0,0.0,0.0,51,2,150000000.0,0.0392156862745098,69521.0,1.5028643074861108,True,5,0,"[7, 10, -26, -18, -10]","[7, 10, -26, -18, -10]",1,4,2
16-feature,16,8,official_models/16-feature-perminv/jet_classifier_large_8/models/epoch=2099-acc=74.17%-val_acc=73.91%-EBOPs=88867.keras,4,Folded-4,ok,,,34284.0,19108.0,0.0,0.0,53,4,75000000.0,0.07547169811320754,68145.0,1.9876618830941548,True,5,0,"[7, 10, -26, -18, -10]","[7, 10, -26, -18, -10]",1,2,4
16-feature,16,8,official_models/16-feature-perminv/jet_classifier_large_8/models/epoch=2099-acc=74.17%-val_acc=73.91%-EBOPs=88867.keras,8,Folded-8,ok,,,28254.0,15008.0,0.0,0.0,61,8,37500000.0,0.13114754098360656,65053.0,2.30243505344376,True,5,0,"[7, 10, -26, -18, -10]","[7, 10, -26, -18, -10]",1,1,8
16-feature,16,8,official_models/16-feature-perminv/jet_classifier_large_8/models/epoch=2099-acc=74.17%-val_acc=73.91%-EBOPs=88867.keras,16,Folded-16,ok,,,28254.0,15008.0,0.0,0.0,61,8,37500000.0,0.13114754098360656,65053.0,2.30243505344376,True,5,0,"[7, 10, -26, -18, -10]","[7, 10, -26, -18, -10]",1,1,8
16-feature,16,16,official_models/16-feature-perminv/jet_classifier_large_16/models/epoch=1795-acc=78.62%-val_acc=78.27%-EBOPs=116699.keras,1,Spatial baseline,ok,,,93462.0,59669.0,0.0,0.0,48,1,300000000.0,0.020833333333333332,93462.0,1.0,True,5,0,"[6, 10, -20, -12, 4]","[6, 10, -20, -12, 4]",1,16,1
16-feature,16,16,official_models/16-feature-perminv/jet_classifier_large_16/models/epoch=1795-acc=78.62%-val_acc=78.27%-EBOPs=116699.keras,2,Folded-2,ok,,,59881.0,36438.0,0.0,0.0,48,2,150000000.0,0.041666666666666664,94853.0,1.5840249828827173,True,5,0,"[6, 10, -20, -12, 4]","[6, 10, -20, -12, 4]",1,8,2
16-feature,16,16,official_models/16-feature-perminv/jet_classifier_large_16/models/epoch=1795-acc=78.62%-val_acc=78.27%-EBOPs=116699.keras,4,Folded-4,ok,,,42391.0,24139.0,0.0,0.0,50,4,75000000.0,0.08,94837.0,2.2371965747446394,True,5,0,"[6, 10, -20, -12, 4]","[6, 10, -20, -12, 4]",1,4,4
